日期,PM2.5分指数,PM10分指数,O3分指数,SO2分指数,NO2分指数,CO分指数,AQI,质量评价,首要污染物
310,2014-05-05,43,64,72,14,49,12,72,良,O3
311,2014-05-04,68,65,37,16,80,21,80,良,NO2
312,2014-05-03,49,62,58,13,39,14,62,良,PM10
313,2014-05-02,109,99,108,29,58,21,109,轻度污染,PM2.5
314,2014-05-01,123,87,132,22,58,21,132,轻度污染,O3
315,2014-04-30,88,74,92,19,82,22,92,良,O3
316,2014-04-29,102,77,90,33,75,26,102,轻度污染,PM2.5
317,2014-04-28,74,54,38,19,55,20,74,良,PM2.5
318,2014-04-27,89,57,28,16,58,25,89,良,PM2.5
319,2014-04-26,23,17,45,7,29,12,45,优,-
320,2014-04-25,39,50,72,9,27,13,72,良,O3
321,2014-04-24,72,56,75,11,42,16,75,良,O3
322,2014-04-23,94,71,73,16,85,23,94,良,PM2.5
323,2014-04-22,75,59,56,15,78,19,78,良,NO2
324,2014-04-21,63,49,48,10,58,15,63,良,PM2.5
325,2014-04-20,49,48,53,10,37,12,53,良,O3
326,2014-04-19,35,20,49,7,37,14,49,优,-
327,2014-04-18,87,51,56,17,53,19,87,良,PM2.5
328,2014-04-17,192,103,15,32,104,38,192,中度污染,PM2.5
329,2014-04-16,62,55,48,11,65,16,65,良,NO2
330,2014-04-15,64,54,78,11,49,13,78,良,O3
331,2014-04-14,88,64,79,13,73,19,88,良,PM2.5
332,2014-04-13,59,43,60,10,43,16,60,良,O3
333,2014-04-12,77,53,39,12,60,19,77,良,PM2.5
334,2014-04-11,68,58,56,9,44,13,68,良,PM2.5
335,2014-04-10,80,63,90,13,70,16,90,良,O3
336,2014-04-09,90,62,68,12,64,17,90,良,PM2.5
337,2014-04-08,89,61,49,17,80,19,89,良,PM2.5
338,2014-04-07,52,53,55,12,49,13,55,良,O3
339,2014-04-06,28,52,53,11,38,10,53,良,O3
340,2014-04-05,78,75,57,25,67,17,78,良,PM2.5
341,2014-04-04,69,75,64,28,79,18,79,良,NO2
342,2014-04-03,64,52,77,14,54,13,77,良,O3
343,2014-04-02,65,53,44,15,68,15,68,良,NO2
344,2014-04-01,69,53,65,11,55,16,69,良,PM2.5
345,2014-03-31,79,54,58,14,59,16,79,良,PM2.5
346,2014-03-30,128,77,72,24,63,25,128,轻度污染,PM2.5
347,2014-03-29,92,58,25,18,82,30,92,良,PM2.5
348,2014-03-28,55,42,47,9,50,15,55,良,PM2.5
